x,y,Floor,Room #,Teacher
5,8,1,203,
5,9,1,102,Christian
5,10,1,null,
5,11,1,null,
5,12,1,104/106,Polasek/Christian
5,13,1,null,
5,14,1,Hall,
5,15,1,108,Palermo
5,16,1,110,Estep
5,17,1,112,Raouf
5,18,1,null,
5,19,1,null,
5,20,1,null,
5,21,1,null,
5,22,1,null,
5,23,1,null,
5,24,1,null,
5,25,1,null,
5,26,1,Exit,
5,27,1,null,
5,28,1,null,
5,29,1,null,
5,30,1,null,
5,31,1,null,
5,32,1,null,
5,33,1,null,
5,34,1,null,
5,35,1,null,
5,36,1,null,
5,37,1,null,
6,0,1,null,
6,1,1,null,
6,2,1,null,
6,3,1,null,
6,4,1,null,
6,5,1,null,
6,6,1,null,
6,7,1,null,
6,8,1,204,
6,9,1,101,Oberlander
6,10,1,Hall,
6,11,1,Hall,
6,12,1,103/105,Mumaw/Wilbers
6,13,1,Hall,
6,14,1,Hall,
6,15,1,Hall,
6,16,1,107/109,Dorsch/Barnett
6,17,1,Hall,
6,18,1,111,Mathis
6,19,1,Hall,
6,20,1,Hall,
6,21,1,113,Daily
6,22,1,Hall,
6,23,1,115/117,Williams/Schuberth
6,24,1,Hall,
6,25,1,Hall,
6,26,1,Exit,
6,27,1,null,
6,28,1,null,
6,29,1,null,
6,30,1,null,
6,31,1,null,
6,32,1,null,
6,33,1,null,
6,34,1,null,
6,35,1,null,
6,36,1,null,
6,37,1,null,
7,0,1,null,
7,1,1,null,
7,2,1,null,
7,3,1,null,
7,4,1,null,
7,5,1,null,
7,6,1,null,
7,7,1,null,
7,8,1,205,
7,9,1,null,
7,10,1,null,
7,11,1,null,
7,12,1,null,
7,13,1,null,
7,14,1,Hall,
7,15,1,null,
7,16,1,null,
7,17,1,null,
7,18,1,null,
7,19,1,null,
7,20,1,null,
7,21,1,null,
7,22,1,null,
7,23,1,null,
7,24,1,null,
7,25,1,null,
7,26,1,null,
7,27,1,null,
7,28,1,null,
7,29,1,null,
7,30,1,null,
7,31,1,null,
7,32,1,null,
7,33,1,null,
7,34,1,null,
7,35,1,null,
7,36,1,null,
7,37,1,null,
8,0,1,null,
8,1,1,null,
8,2,1,null,
8,3,1,null,
8,4,1,null,
8,5,1,null,
8,6,1,null,
8,7,1,null,
8,8,1,206,
8,9,1,null,
8,10,1,null,
8,11,1,null,
8,12,1,null,
8,13,1,null,
8,14,1,Hall,
8,15,1,null,
8,16,1,null,
8,17,1,null,
